Sample Volume (ml)	50.000000 
Titrant normality	0.050000 
Equivalent Volume (ml)	1.802606 
ANC (eq/L)	0.001803 
correlation coefficient	0.999846 

Titrant Volume (ml)	pH	F1
0.200000	6.795475	0.000000
0.400000	6.499706	0.000000
0.600000	6.088243	0.000001
0.800000	6.085165	0.000001
1.000000	5.899685	0.000001
1.200000	5.706930	0.000002
1.400000	5.467080	0.000004
1.600000	5.129369	0.000008
1.800000	4.446171	0.000037
2.000000	3.619524	0.000250
2.100000	3.429913	0.000387
2.200000	3.301167	0.000522
2.300000	3.207613	0.000649
